body,title,url
"La final de la Copa del Rey entre Barcelona y el Atletic de Bilbao de 1984 fue uno de los partidos más polémicos en la historia del fútbol español. Hasta antes del encuentro ya había un pronóstico hostil. El entrenador del equipo vasco era Javier Clemente, reconocido por sus frases contra los argentinos, mientras que en la banca del equipo azulgrana estaba César Luis Menotti, campeón del mundo con la Albiceleste en 1978. ¿Y en la cancha? Maradona ante Goikoetxea, el mismo quien meses antes lesionó al Diego, provocándole una fractura de tobillo. El partido que se disputó en el estadio Santiago Bernabéu terminó en 1-0 en favor de los vascos. Tras el pitazo final, Maradona, quien jugó su último encuentro con el club culé, se descontroló y golpeó a Núñez y Sola. Ahí el conflicto estalló hasta transformarse en una verdadera batalla campal, que tuvo como espectadores a los reyes de España.",Diez veces en que leyendas del fútbol perdieron la cordura en la cancha,https://www.latercera.com//el-deportivo/noticia/diez-veces-en-que-leyendas-del-futbol-perdieron-la-cordura-en-la-cancha/JZT6VQNJRJD6FL43WPODSUAX2M/
"Su sueño era entender a las mascotas. Con ese objetivo, la afamada investigadora Melina Melinao comenzó a trabajar en un aparato para poder entender el lenguaje de los animales. Junto a su gato Anticucho, la doctora ayuda a un perro callejero, un loro, una cerdita y una yegua a resolver sus problemas. En el camino se encuentra con un terrible caso de maltrato animal.",Los Contadores Auditores estrenan obra infantil virtual en el GAM ,https://www.latercera.com//culto/2020/07/14/los-contadores-auditores-estrenan-obra-infantil-virtual-en-el-gam/
"La ofensiva de Audi en la presente temporada no se detiene. La marca alemana que cerró un primer bastante movido -con los lanzamientos del pequeño A1 Sportback y luego de los familiares Q3 y Q3 Sportback- abre los fuegos de la segunda mitad del año con el renovado Audi A4. El sedán innova en materia de diseño y también lo hace en cuanto a motorizaciones, que ahora suma variantes de hibridación suave. Además, estará disponible en su configuración más salvaje: el Audi S4 con motor 3.0 turbo de 353 caballos y tracción total quattro.",Audi A4 2020: la quinta generación suma motorizaciones y ajusta el look,https://www.latercera.com//mtonline/noticia/audi-a4-2020-misma-generacion-pero-con-nuevas-motorizaciones-y-remozado-look/R7YG6KHCWNAK3M4BE4YM7Q6KVY/
"Establecieron su práctica en Brasil el año 2012, creando desde muebles y accesorios de diseño hasta salas de exposición comerciales y oficinas, además de proyectos residenciales definitivamente memorables. El italiano Matteo Arnone y el español Pep Pons son Atelier Branco, quienes aprendieron su hermoso quehacer constructivista y con claros aires a la arquitectura modernista de posguerra del s. XX en Suiza. Allí estudiaron en la Academia de Arquitectura de Mendrisio, casa de estudios altamente reconocida en el mundo entero, donde el Pritzker Peter Zumthor es académico desde 1996, entre otros grandes de la arquitectura mundial.",Como obra natural,https://www.latercera.com//masdeco/como-obra-natural/
"“Es una paradoja. La obra, el bien cultural, está jugando un rol muy importante; la gente consume más películas, más libros, incluso más artes escénicas. Los artistas y trabajadores de la cultura están haciendo un aporte significativo en la pandemia y, sin embargo, su situación actual es dramática y probablemente va a empeorar”, asegura Bárbara Negrón, directora del Observatorio de Políticas Culturales (OPC).",Crisis y acción: trabajadores de la cultura proponen plan de emergencia y reactivación ,https://www.latercera.com//la-tercera-pm/noticia/crisis-y-accion-trabajadores-de-la-cultura-proponen-plan-de-emergencia-y-reactivacion/JBYFQMHON5HOVKDYVKEKTQYVWU/
Por unanimidad la comisión de Hacienda del Senado aprobó el proyecto que crea un sistema de cuidado para los padres con hijos menores a 6 años durante el período de catástrofe debido al Covid.,Comisión de Hacienda del Senado aprueba proyecto que amplía el posnatal y queda a un paso de avanzar a la Sala,https://www.latercera.com//pulso/noticia/comision-de-hacienda-del-senado-aprueba-proyecto-que-amplia-el-posnatal-y-queda-a-un-paso-de-avanzar-a-la-sala/23AA3MDR5BDLTI3LFUUKDQDO2I/
El crujir de Amarea,Don cochayuyo: para comerte mejor,https://www.latercera.com//masdeco/don-cochayuyo-para-comerte-mejor/
"Feller Rate ratificó la clasificación AA para la solvencia del Banco Itaú Corpbanca y las perspectivas en “estables”, luego del anuncio de ajuste contable no recurrente informado la semana pasada por la entidad financiera.",Feller Rate ratifica clasificación AA para Banco Itaú,https://www.latercera.com//pulso-trader/noticia/feller-rate-ratifica-clasificacion-aa-para-banco-itau/OSJVJE5JZJERVG7PEPSRPF6KBI/
"El Consejo Nacional Electoral (CNE) de Venezuela fijó para el 6 de diciembre la realización de las elecciones parlamentarias, lo que es exhibido por el gobierno de Nicolás Maduro como prueba de una democracia vibrante y plenamente apegada a las formas institucionales. Pero en los hechos la realidad es muy distinta, pues existe una alta probabilidad de que todo el proceso se encamine hacia un fraude electoral a gran escala, con lo cual el régimen terminaría copando todos los espacios de poder. La Asamblea Nacional es el único ente que sigue en manos de la oposición y que ha logrado servir como bastión de resistencia, pero si ésta cae en manos del chavismo, la posibilidad de que la crisis venezolana logre una salida por cauces institucionales y pacíficos se ve cada vez más lejana.",Graves amenazas a la oposición venezolana,https://www.latercera.com//opinion/noticia/graves-amenazas-a-la-oposicion-venezolana/GJRV46737VBCHKGNIIFT57K5LI/
"Autor: C. Z. / 13 julio, 2020",,http://glamorama.latercera.com/noticias/2020/07/felipe-braun-recuerda-su-personaje-en-machos-ariel-lo-primero-que-sorprendia-es-que-el-gay-no-parecia-gay-porque-hasta-ahi-los-personajes-gay-eran-muy-estereotipados.shtml/
"Durante los primeros ocho días de julio, el promedio de fallecidos asociados al Covid-19 fue de 140,25 decesos cada 24 horas. Ello se desprende a partir del desglose diario de las cifras informadas por el Departamento de Estadística e Información de Salud (DEIS) que difunde el Ministerio de Ciencia.",DEIS: Promedio de muertes asociadas al Covid-19 durante los ocho primeros días de julio es de 140 cada 24 horas,https://www.latercera.com//nacional/noticia/deis-promedio-de-muertes-asociadas-al-covid-19-durante-los-ocho-primeros-dias-de-julio-es-de-14025-cada-24-horas/XYQ3QNCUUZGGPGKSJD4TDN74N4/
"Desde el viernes pasado y con el objetivo de mejorar la transparencia de datos, según indicaron el ministro de Salud, Enrique Paris, y su par de Bienes Nacionales, Julio Isamit, el visor territorial que entregaba datos con respecto a la pandemia también incluye ahora información de contagios activos por kilómetro cuadrado a lo largo de todo el país.","Así es el Visor Territorial Covid-19, plataforma que muestra los contagios por kilómetro cuadrado a lo largo de todo Chile",https://www.latercera.com//nacional/noticia/asi-es-el-visor-territorial-covid-19-plataforma-que-muestra-los-contagios-por-kilometro-cuadrado-a-lo-largo-de-todo-chile/ME4E5SALNBG5DEIAGJQQ74X7H4/
"Por Gabriel Zaliasnik, profesor de Derecho Penal, Facultad de Derecho U. de Chile",El mundo de ayer,https://www.latercera.com//opinion/noticia/el-mundo-de-ayer/PLKLWFOLFJAOPH6JNOSMZYLG4U/
"Pedro Rakos, que vivió largo tiempo en Venezuela, cuenta que cuando comenzó la cuarentena, las ventas bajaron de forma considerable. “Pero luego los clientes comenzaron a contactarnos por Whatsapp e Instagram ¡y nos comenzaron a comprar como nunca antes a través de las redes sociales!”, dice. Altoque Records, que se especializa en música latina, está despachando a todo Chile y los envíos en Santiago son gratis. Aquí puedes encontrar Unicornio, de Silvio Rodríguez; Entre el cielo y el suelo, de Mecano; 16 Grandes Éxitos Eternos de Raphael y Hey Jude, de The Beatles.",Guía para conseguir vinilos en tiempos de pandemia ,https://www.latercera.com//culto/2020/07/12/guia-para-conseguir-vinilos-en-tiempos-de-pandemia/
"Finalmente este lunes Ford le quitó el velo al esperado Bronco de sexta generación, su todoterreno más visceral que, tras debutar a mediados del 60 había dejado de producirse en 1996. El regreso del Ford Bronco está encarnado en un modelo grande, siguiendo la línea del precursor del 66, que estará disponible en dos carrocerías -de cuatro y dos puertas- y dos motorizaciones; y un Bronco más pequeño, llamado Bronco Sport, que debuta en un único cuerpo de cuatro puertas y que también ofrece dos mecánicas en el catálogo. Como es requisito para llevar el nombre Bronco, ambos tendrán tracción 4x4 de serie.",Fin de anuncios y adelantos: el Ford Bronco 2021 ya está aquí,https://www.latercera.com//mtonline/noticia/fin-de-anuncios-y-adelantos-el-ford-bronco-2021-ya-esta-aqui/MEA4BSTNXNEV3MEVKSTQH2T4YY/
"Ayer, el ministro de la Segpres, Claudio Alvarado, expuso en la comisión de Gobierno Interior de la Cámara sobre el mensaje ingresado por el Ejecutivo -en marzo de este año- que busca adecuar el padrón electoral y que las publicaciones y notificaciones del Servicio Electoral, en procesos eleccionarios, sean solo de forma electrónica.",Sin voto postal ni anticipado pero que se realice en dos días: La propuesta del Servel para un “plebiscito seguro”,https://www.latercera.com//la-tercera-pm/noticia/sin-voto-postal-ni-anticipado-pero-que-se-realice-en-dos-dias-la-propuesta-del-servel-para-un-plebiscito-seguro/W2OJMLKVW5E3JCZGAZWRHKSTQU/
"Cuando a Alain Bertaud, urbanista de origen francés que actualmente reside en Nueva York, le dicen que las ciudades están por desaparecer producto de la pandemia, el simplemente se dedica a contestar a través de su experiencia.",“El teletrabajo puede generar una mayor brecha digital que la que tenemos hoy”,https://www.latercera.com//laboratoriodecontenidos/noticia/el-teletrabajo-puede-generar-una-mayor-brecha-digital-que-la-que-tenemos-hoy/AXDBVHASY5DPDP2IOUJENPULY4/
"El anuncio gubernamental de permitir el retorno a los entrenamientos de los clubes de fútbol que residen en zonas en cuarentena, un beneficio que también se extiende a los deportistas olímpicos, añade una certeza más a la posibilidad de que el fútbol chileno vuelva a la competencia. O, al menos, permite ver el retorno como una realidad más próxima. El 8 de junio, el Consejo de Presidentes aprobó la fecha para el retorno del fútbol. Ese día, la ANFP comunicó que los torneos se reanudarían el 31 de julio, aunque con una condición relevante. “Esta fecha está absolutamente sujeta a la obtención de la autorización por parte de la autoridad sanitaria”, precisaba. El plazo se correrá una o dos semanas, al menos.",¿Cuándo es el pitazo inicial en el fútbol chileno? Las fechas y obligaciones que siguen al retorno a los entrenamientos,https://www.latercera.com//la-tercera-pm/noticia/cuando-es-el-pitazo-inicial-en-el-futbol-chileno-las-fechas-y-obligaciones-que-siguen-al-retorno-a-los-entrenamientos/CZZVR55H3FD5ZHE4MDUQ6NKDQA/
"El Sistema de Registro, Alerta y Vigilancia de Enfermedades de Notificación Obligatoria, conocido como Epivigila, no consideró el 8 de junio todos los casos de Covid confirmados por los laboratorios que hacen el examen PCR.",Contraloría instruye sumario tras detectar “inconsistencias” en cifras de contagios de Covid-19 proporcionadas por sistema Epivigila,https://www.latercera.com//nacional/noticia/contraloria-instruye-sumario-tras-detectar-inconsistencias-en-cifras-de-contagios-de-covid-19-proporcionadas-por-sistema-epivigila/XVD36ECHRJF7RIQ4ZOWSRM3HLE/
"Nada menos que 1.348 caballos son protagonistas en el último desafío planteado por Hennessey Performance, que puso a correr a un Jeep Grand Cherokee Trackhawk (debutó en Chile en mayo) contra un Lamborghini Urus. El preparador estadounidense, que seguramente está planeando algo aún más brutal, dice que ambos modelos -el estadounidense y el italiano- corresponden a las versiones de serie (aunque solo por ahora).",Uno solo gana: el Lamborghini Urus se bate a duelo con el Jeep Grand Cherokee Trackhawk,https://www.latercera.com//mtonline/noticia/uno-solo-gana-el-lamborghini-urus-se-bate-a-duelo-con-el-jeep-grand-cherokee-trackhawk/3ID7FB4GBZE3NOFXNWCGSTEF7Y/
